chr	pos	ID	effectSize
X	160000	21001	0.0919335765023397
X	3930000	21001	0.00777482886246144
X	5650000	21001	-0.06856958487190254
X	6090000	21001	-0.005426346202786536
X	6220000	21001	-0.009145146381573752
X	6680000	21001	-0.3001244488670313
X	7070000	21001	-0.06856958487190254
X	9550000	21001	0.02522844990501652
X	10820000	21001	0.0
X	11390000	21001	0.025821388150161106
X	11790000	21001	-1.3892573048710646
X	12630000	21001	0.4214096678401369
X	12720000	21001	0.14598133652589096
X	14670000	21001	-0.047505737586096025
X	15500000	21001	-0.02334914247547349
X	16670000	21001	0.40911518554042253
X	16840000	21001	-0.07242608493768715
X	16910000	21001	0.5969141908351232
X	20910000	21001	0.3122962352262113
2L	70000	21001	-0.04924880315723845
2L	1910000	21001	-0.005468070297218103
2L	2840000	21001	-0.03170136860863686
2L	7150000	21001	0.0
2L	7610000	21001	-0.07194065507687655
2L	10150000	21001	-0.5714441741486294
2L	16490000	21001	0.6691379651598495
2L	17270000	21001	-0.38452583290947456
2R	100000	21001	0.01152725399829449
2R	1690000	21001	0.05402068537490079
2R	4500000	21001	-0.08714587295930254
2R	4870000	21001	0.13063987837500607
2R	6280000	21001	-2.110473030787556e-18
2R	6570000	21001	0.04558549215231891
2R	6930000	21001	-0.12013722574290121
2R	8620000	21001	0.056827689804292245
2R	11660000	21001	-0.12058446998891287
2R	12420000	21001	0.35230699493364803
2R	14730000	21001	0.12729121419184847
2R	15380000	21001	-0.09856322546249952
2R	15850000	21001	-0.13945257315334736
2R	16540000	21001	-0.14651563318849087
2R	16560000	21001	-0.13360306974343394
2R	18060000	21001	-0.07444504937591323
2R	18830000	21001	-1.4256851129002983
2R	19500000	21001	0.03612020307798783
3L	190000	21001	-0.07167804775564501
3L	1590000	21001	0.026401058098355072
3L	1850000	21001	0.0
3L	3640000	21001	0.0
3L	3910000	21001	-1.1161308358212393e-16
3L	4890000	21001	-0.013800269809446493
3L	5250000	21001	-0.5714704953509435
3L	5880000	21001	-0.024182631876913052
3L	7190000	21001	0.0024850159586134457
3L	10370000	21001	-0.2531674174705434
3L	10380000	21001	-3.2809063816851505e-17
3L	12090000	21001	0.0
3L	12360000	21001	6.639878625616411e-18
3L	12490000	21001	-0.5218987546232909
3L	12600000	21001	0.12162366274072454
3L	16080000	21001	-4.6547832573163e-18
3L	16740000	21001	0.0
3L	20860000	21001	-0.00027896672851957817
3R	90000	21001	0.0
3R	210000	21001	0.1729812696779312
3R	600000	21001	0.00946972239372786
3R	1300000	21001	0.30645864658365973
3R	4060000	21001	-0.10069147547807479
3R	6030000	21001	-0.10069147547807479
3R	9280000	21001	0.013856986399659765
3R	10040000	21001	0.0
3R	10270000	21001	-0.06327398212745516
3R	11000000	21001	0.09756107870140514
3R	14470000	21001	0.4018000826478563
3R	14950000	21001	0.12085964584857785
3R	16630000	21001	0.7277504868512792
3R	17740000	21001	0.26115194496088606
3R	17950000	21001	0.15368113743916229
3R	18260000	21001	0.10875795848466566
3R	18470000	21001	0.003949700670135448
3R	18560000	21001	0.133132565212835
3R	18980000	21001	1.2398315594102136
3R	19090000	21001	0.26464525060717353
3R	20550000	21001	0.1929030078175653
3R	21110000	21001	0.4294954368591314
3R	22210000	21001	0.46623396976254666
3R	23190000	21001	0.04781938552655852
3R	25210000	21001	0.0601218188280314
3R	26780000	21001	0.1625812315847563
X	160000	21002	0.0919335765023397
X	3430000	21002	-0.07067153681072434
X	5400000	21002	0.0
X	6310000	21002	-0.6694137624649962
X	6700000	21002	0.032620071661366205
X	6940000	21002	0.0
X	10310000	21002	0.009594012707522054
X	11420000	21002	-1.4405986148523011
X	12090000	21002	-0.12032059837261874
X	12800000	21002	0.1639761551721291
X	13110000	21002	-0.035007804198971954
X	16370000	21002	0.05696318879936789
