,beta,p-val,R-squared,chr,pos
0,"[0.6691379651598495, 0.19476952444263113, -0.06278803500233332, -6.479551041381965e-17, -7.640253905320273e-18, 0.039063750644605266, -0.35190584625924526, -0.07979546513938574]",0.4836803642033699,0.017588282971972236,2L,70000
1,"[0.6691379651598495, 0.19476952444263113, -0.06278803500233332, -6.479551041381965e-17, -7.640253905320273e-18, 0.039063750644605266, -0.35190584625924526, -0.07979546513938574]",0.4836803642033699,0.017588282971972236,2L,80000
2,"[0.6691379651598495, 0.19476952444263113, -0.06278803500233332, -6.479551041381965e-17, -7.640253905320273e-18, 0.039063750644605266, -0.35190584625924526, -0.07979546513938574]",0.4836803642033699,0.017588282971972236,2L,90000
3,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,100000
4,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,110000
5,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,120000
6,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,130000
7,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,140000
8,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,150000
9,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,160000
10,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,170000
11,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,180000
12,"[0.6670455107673112, 0.20770385776479355, -0.06488048939487492, 3.7613499864905506e-17, -1.0753035789985799e-16, 0.03697129625206418, -0.35399830065178695, -0.08226752649884153]",0.4701715018690804,0.017983298718975638,2L,190000
13,"[0.6604968806143939, 0.25403874921198644, -0.0714291195477881, -1.164533100312056e-16, 1.1457036911437673e-17, 0.030422666099150633, -0.36054693080470046, -0.09585926718146598]",0.39702938572579427,0.020256067224056373,2L,200000
14,"[0.6604968806143939, 0.25403874921198644, -0.0714291195477881, -1.164533100312056e-16, 1.1457036911437673e-17, 0.030422666099150633, -0.36054693080470046, -0.09585926718146598]",0.39702938572579427,0.020256067224056373,2L,210000
15,"[0.6604968806143939, 0.25403874921198644, -0.0714291195477881, -1.164533100312056e-16, 1.1457036911437673e-17, 0.030422666099150633, -0.36054693080470046, -0.09585926718146598]",0.39702938572579427,0.020256067224056373,2L,220000
16,"[0.6604968806143939, 0.25403874921198644, -0.0714291195477881, -1.164533100312056e-16, 1.1457036911437673e-17, 0.030422666099150633, -0.36054693080470046, -0.09585926718146598]",0.39702938572579427,0.020256067224056373,2L,230000
